name;discount;price;old_price;status;url_item
Cerveja APA Puro Malte 82 Black Princess Garrafa 600ml;37 porcento;9.99;15.99;AVAILABLE;https://www.paodeacucar.com/produto/447089
Cerveja EISENBAHN American Ipa Puro Malte Lata 350ml;11 porcento;5.06;5.69;AVAILABLE;https://www.paodeacucar.com/produto/444718
Cerveja EISENBAHN Pilsen Puro Malte Lata 350ml;10 porcento;4.0;4.49;AVAILABLE;https://www.paodeacucar.com/produto/350972
Cerveja EISENBAHN American Ipa Puro Malte Long Neck 355ml;7 porcento;5.57;5.99;AVAILABLE;https://www.paodeacucar.com/produto/306043
Cerveja Eisenbahn Weizenbier Long Neck 355ml;7 porcento;5.57;5.99;AVAILABLE;https://www.paodeacucar.com/produto/158448
Cerveja EISENBAHN Pale Ale Puro Malte Long Neck 355ml;7 porcento;6.22;6.69;AVAILABLE;https://www.paodeacucar.com/produto/121236
Cerveja de Trigo HOEGAARDEN 330 ML Long Neck;Same price;6.49;6.49;AVAILABLE;https://www.paodeacucar.com/produto/148184
Cerveja LAGUNITAS Ipa Long Neck 355ml;Same price;11.99;11.99;AVAILABLE;https://www.paodeacucar.com/produto/447617
Cerveja COLORADO Indica Garrafa 600ML;Same price;12.99;12.99;AVAILABLE;https://www.paodeacucar.com/produto/67932
Cerveja Golden Ale Baden Baden Garrafa 600ml;Same price;15.29;15.29;AVAILABLE;https://www.paodeacucar.com/produto/21057
Cerveja BADEN BADEN American Ipa Puro Malte Garrafa 600ml;Same price;15.29;15.29;AVAILABLE;https://www.paodeacucar.com/produto/322841
Cerveja COLORADO Vixnu Garrafa 600ml;Same price;12.99;12.99;AVAILABLE;https://www.paodeacucar.com/produto/331294
